,text,sentiment
66,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
67,RT @DojaCat: what time is it?,neutral
68,@dojobat @DojaCat https://t.co/dfPUQAKb6M,neutral
69,RT @DojaCat: what time is it?,neutral
70,@DojaCat @Rogerle62918450 What do all the trolls in this comment section have in common? Just unfollow if y’all don’t like her 🙄 https://t.co/iWoc13jrx2,negative
71,"RT @chartdoja: How you can vote for @DojaCat at the 2020 @VMAs:

 • Open the https://t.co/BCR9UwInEp page on the anonymous tab on Google.…",neutral
72,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
73,RT @DojaCat: Remember when people said I was black when I had a #1 along side 3 other black women but now the same people wanna say I'm whi…,negative
74,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
75,@lonelygxthbat @ashley_sodainty @DojaCat Girl I’m black. You’re trying to create division in the community when whole time you have just as much black in me as I do.,negative
76,"Female artists on Spotify (July 22, 2020)
 
#11 @selenagomez 5.96m 
#12 @DojaCat 5.95m
#13 @Camila_Cabello 5.83m
#14 @AvaMax 5.08m
#15 @Sia 4.94m 
#16 @shakira 4.64m
#17 @karolg 4.63m
#18 @LanaDelRey 4.61m 
#19 @tonesandimusic 4.1m
#20 @theestallion 4.03m",neutral
77,"@AOTRULES246 @art_donuts @MalibuFat @vmas @MTV @DojaCat Check her account she spends her day searching ""Doja Cat"" and saying she's cancelled. Been doing that since june not even joking",neutral
78,@badlikeabarbiee @labardi813 @nickigoatasf @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion ☠️🤣😂😂😂,neutral
79,RT @DojaNews: @DojaCat how bout you drop this so we can make dents in our ceilings??? https://t.co/kP2ufS6tlc,neutral
80,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 90 Days) 

@NICKIMINAJ — 946M
@DojaCat — 776M 
@theestallion — 435M 
@iamcardi…",positive
81,@dojobat @DojaCat It’s too damn early https://t.co/MxRXjRwA9z,positive
82,@dojobat @DojaCat https://t.co/AmQgoieMp3,neutral
83,@art_donuts @dojaddiction @el_ritzy1 @DojaCat https://t.co/mjvvZkIw6f,neutral
84,@art_donuts @dojaddiction @el_ritzy1 @DojaCat https://t.co/mjvvZkIw6f,neutral
85,@art_donuts @DojaCat https://t.co/mjvvZkIw6f,neutral
86,@Jokesroom1 @labardi813 @nickigoatasf @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion the way they made no noise so a b*rdig*ng doesn’t even know 😹😹 https://t.co/AOJI1dJElA,neutral
87,@spotify_data @selenagomez @DojaCat @Camila_Cabello @AvaMax @Sia @shakira @karolg @LanaDelRey @tonesandimusic @theestallion all queens and then kkkanola,neutral
88,RT @DojaCat: Remember when people said I was black when I had a #1 along side 3 other black women but now the same people wanna say I'm whi…,negative
89,"To Be Young Song Official Lyrics Out Now Featuring @AnneMarie Ft. @DojaCat Out. 
Go and Enjoy The Lyrics of Beautiful Song by clicking The link .
👇👇👇👇👇
https://t.co/nZrfbPLvcf https://t.co/jzJFaUso95",positive
90,@DojaCat Anyone who says vagina is a liar it’s obviously vagina,neutral
91,@largesimp @ILikeStuff69420 @dojobat @DojaCat https://t.co/XysTedtUJU,neutral
92,RT @DojaCat: https://t.co/qNueZCbO9U,neutral
93,RT @DojaCat: Deleted my last tweet because someone brought up a very valid point about it. My response was that I'm standing up for myself…,positive
94,RT @DojaCat: Remember when people said I was black when I had a #1 along side 3 other black women but now the same people wanna say I'm whi…,negative
95,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
96,"RT @StevieDerrick_: * check out this clip @taurussavant’s singing his own “@DojaCat’s Say So (Remix)” we have to support great talent! 

#I…",positive
97,"RT @DojaCat: New Flo Milli shit got my body completely still while my left asscheek making dents in the ceiling. Go watch ""Like That Bitch""…",positive
98,.@DojaCat pls show boob😿💔🙏 https://t.co/VCFnk9AcPL,neutral
99,@DojaCat pls show tit🙏❤️😽,neutral
100,RT @DojaCat: what time is it?,neutral
101,@spotify_data @selenagomez @DojaCat @Camila_Cabello @AvaMax @Sia @shakira @karolg @LanaDelRey @tonesandimusic @theestallion selegend ate,neutral
102,@DojaNews @DojaCat OH MY GODDDD I NEED THISSSS!!!!,neutral
103,@DojaCat You just make me uncomfortable with all the shit around u 😸😸,negative
104,RT @ParallaxGalaxy: @DojaCat It’s time to release Ocean https://t.co/yTwFRIWKP4,neutral
105,RT @pookjmjjn: @AriBlanco86 @DojaCat https://t.co/YGfkssDCGh,neutral
106,@DojaCat No ❤️,neutral
107,@rianisquesodipp @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion ✨you don't have to comment✨,neutral
108,@labardi813 @badlikeabarbiee @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion That musty h0e threw a shoe and bottle at my fav https://t.co/qZ5sKRx5uX,neutral
109,@badlikeabarbiee @Jokesroom1 @labardi813 @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion Embarrassing https://t.co/EaGpUCCyE4,neutral
110,@art_donuts @dojidojis @DojaCat Ain’t this u? https://t.co/Z0i9uGS2Ak,neutral
111,@art_donuts @_mehrunesbarbz @dojobat @DojaCat This u? https://t.co/vCSJLFbC5t,neutral
112,@art_donuts @dojidojis @DojaCat This u? https://t.co/9HpqfPw2Dj,neutral
113,"RT @spotify_data: Female artists on Spotify (July 22, 2020)
 
#11 @selenagomez 5.96m 
#12 @DojaCat 5.95m
#13 @Camila_Cabello 5.83m
#14 @Ava…",neutral
114,@art_donuts @AnneMarie @DojaCat Yeah im black 🥺,negative
115,"#VideoOfTheWeek:
@DojaCat: Like That https://t.co/oGTrqIau32",neutral
116,@FazeMicheal @AeRaisin @DojaCat android is talking chile 💀,neutral
117,@kiramelodic @adampadilla93 @DojaCat Why tf are you linking a whole chain of videos defending doja,positive
118,"RT @sonyatvpubuk: Today's #FRESHLIST features:

🌟@beabad00bee
🌟@elliegoulding
🌟@AnneMarie @DojaCat
🌟@unknwnt9 @YoungTandBugsey
🌟@CalvinHarr…",neutral
119,RT @everytimeharley: @DojaCat it's the whole pic for me... a serve https://t.co/pWQfPfZhIo,positive
120,@DojaCat time for u to release new music,positive
121,"RT @spotify_data: Female artists on Spotify (July 22, 2020)
 
#11 @selenagomez 5.96m 
#12 @DojaCat 5.95m
#13 @Camila_Cabello 5.83m
#14 @Ava…",neutral
122,@spotify_data @selenagomez @DojaCat @Camila_Cabello @AvaMax @Sia @shakira @karolg @LanaDelRey @tonesandimusic @theestallion Ava queen period,neutral
123,@xxxgreene12 @ashley_sodainty @DojaCat You not looking light skinned has nothing to do with needing to still identify as biracial because clearly you still know you are,positive
124,RT @DojaCat: this fuckin world sucks.,negative
125,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
126,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 90 Days) 

@NICKIMINAJ — 946M
@DojaCat — 776M 
@theestallion — 435M 
@iamcardi…",positive
127,@girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion @Saweetie @IGGYAZALEA @MissyElliott @stefflondon @citygirls @TierraWhack Nicki Doja megan saweetie and city girls where it’s at!,neutral
128,@darkyonceson @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion @Saweetie @IGGYAZALEA @MissyElliott @stefflondon @citygirls @TierraWhack Less,negative
129,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
130,@DojaCat can we please get WHIP PLEASEEE https://t.co/IXRHoX60Y1,neutral
131,@art_donuts @DojaCat b https://t.co/M5eBbLymHC,neutral
132,@art_donuts @DojaCat a https://t.co/VPd8yHnCRB,neutral
133,@art_donuts @DojaCat k i’m spamming now until u decide to address the slur you used,neutral
134,@art_donuts @DojaCat c https://t.co/AIW2XmbKRd,neutral
135,@art_donuts @DojaCat this is real😍are u gonna apologize for it? https://t.co/vFYJL6WNgy,positive
136,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
137,Vote for @DojaCat https://t.co/hHVUNTBPyV,neutral
138,RT @DojaNews: .@DojaCat mentions that she had Covid-19 in a recent interview. 💔  https://t.co/NsrqY1nr9B,neutral
139,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 90 Days) 

@NICKIMINAJ — 946M
@DojaCat — 776M 
@theestallion — 435M 
@iamcardi…",positive
140,@girlsinrap @NICKIMINAJ @DojaCat @theestallion @iamcardib Period EMPRESS OF RAP CARDI,neutral
141,@ungoldyhours @DojaCat Hoe byeeeee! https://t.co/KowoJb4LTm,neutral
142,@ungoldyhours @DojaCat You mother forgot to swallow with you 😒😣😤,neutral
143,@paradcises @DojaCat Tf you talking about 🤣😂 https://t.co/IxqJ9AvZBe,neutral
144,@MiguelAlexG1 @DojaCat Your fav is racist 🤣😂,neutral
145,"@spotify_data @selenagomez @DojaCat @Camila_Cabello @AvaMax @Sia @shakira @karolg @LanaDelRey @tonesandimusic @theestallion Shakira, Megan, Lana, Doja and fads",neutral
146,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 90 Days) 

@NICKIMINAJ — 946M
@DojaCat — 776M 
@theestallion — 435M 
@iamcardi…",positive
147,@bbriannswrld @rianisquesodipp @nickhernnandez @chartdata @DojaCat @NICKIMINAJ Lmao https://t.co/vvG9EoaVDN,positive
148,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
149,RT @DojaCat: what time is it?,neutral
150,@art_donuts @el_ritzy1 @DojaCat Nonsense. You’re just wasting your time. How about you support actual ppl you stan? Or is it doja you stan so much? How can your brain not realize no matter how much time you spend here she’s never gonna show em cause its a joke in the first place. Y’all dumb or just playin dumb?,negative
151,@Real_folabi @FinnDaHuman__ @DojaCat I don’t give a fuck,negative
152,"@art_donuts @el_ritzy1 @DojaCat Also, it’s not cause you didn’t see her boobs that she’s cancelled. that’s not how it works. Either y’all know it was a joke but you’re just tryna find something to insult someone who did nothing to you or y’all just dumb thinking celebrities (especially trolls) are gonna do it.",negative
153,@PuyiVR @DojaCat Ok,positive
154,"@art_donuts @el_ritzy1 @DojaCat She’s only « cancelled » by little horny boys... she has never promised anything y’all obsessed. Y’all know she a troll right? She was never gonna show them it’s comment sense
if she was cancelled you wouldn’t be here giving her attention like that. And btw Porn hub exists.",negative
155,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
156,RT @NickiOnChart: “Tusa” has surpassed @DojaCat’s “Say So” and is now the highest song by a female rapper on Global Spotify chart currently…,neutral
157,@DojaCat Bruh...,neutral
158,@DojaCat Shit like that for atention,negative
159,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 90 Days) 

@NICKIMINAJ — 946M
@DojaCat — 776M 
@theestallion — 435M 
@iamcardi…",positive
160,RT @DojaCat: what time is it?,neutral
161,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
162,RT @NickiOnChart: “Tusa” has surpassed @DojaCat’s “Say So” and is now the highest song by a female rapper on Global Spotify chart currently…,neutral
163,@spotify_data @selenagomez @DojaCat @Camila_Cabello @AvaMax @Sia @shakira @karolg @LanaDelRey @tonesandimusic @theestallion Seltuna Give us nothing !,neutral
164,"RT @spotify_data: Female artists on Spotify (July 22, 2020)
 
#11 @selenagomez 5.96m 
#12 @DojaCat 5.95m
#13 @Camila_Cabello 5.83m
#14 @Ava…",neutral
165,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
166,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 90 Days) 

@NICKIMINAJ — 946M
@DojaCat — 776M 
@theestallion — 435M 
@iamcardi…",positive
167,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 12 Months) 

@NICKIMINAJ — 3.38B
@DojaCat — 1.78B
@iamcardib — 1.43B 
@theesta…",positive
168,@DojaCat Time to release “dudes aint shit”,negative
169,@spotify_data @selenagomez @DojaCat @Camila_Cabello @AvaMax @Sia @shakira @karolg @LanaDelRey @tonesandimusic @theestallion Kkkmila out of top 10😭💀 https://t.co/m0s5irJy02,positive
170,@TrippieXotic @DojaCat Meltdown https://t.co/RzqQoos1GQ,neutral
171,"You know this is fake. If it was real, I would be down with you and @DojaCat running around defending her use of racist slurs and homophobia. Your desperation shows how you really feel. https://t.co/z9oD0OGgRs",negative
172,@musicorthestump @dojaddiction @el_ritzy1 @DojaCat Karen is working hard. https://t.co/xJsjirOfx4,negative
173,@DojaRunStan @dojidojis @DojaCat Yes. https://t.co/IDHy7Y9upI,neutral
174,@DojaRunStan @_mehrunesbarbz @dojobat @DojaCat I would never use “onto” BTW ass. But now you’re in trouble.,negative
175,@alexritsos2 @DojaCat She https://t.co/XrirUes1Zs,neutral
176,@DojaRunStan @dojidojis You know it’s fake. If it was real I’d be one of @DojaCat biggest supporters. I mean it’s as if she wrote it. Good try. https://t.co/obBl2S8zvO,positive
177,@dojaddiction @el_ritzy1 @DojaCat https://t.co/pSEPInMxuw,neutral
178,@rio_silaen @DojaCat You like feces?,neutral
179,@Maraj_Prints @DojaCat https://t.co/HMXavFci6h,neutral
180,@trenz212 @DojaCat Who cares? https://t.co/1udr64HWe6,neutral
181,RT @MarzzMeemah: @DojaCat No ❤️,neutral
182,@merryyzz123 @_kateinnes @DojaCat Close enough,neutral
183,@dojaddiction @el_ritzy1 @DojaCat https://t.co/cxUHUBM1lV,neutral
184,@nickigoatasf @labardi813 @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion she wouldn’t get paid for it either https://t.co/dRGWJ3TTZ0,neutral
185,RT @DojaCat: Remember when people said I was black when I had a #1 along side 3 other black women but now the same people wanna say I'm whi…,negative
186,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
187,@AnneMarie @DojaCat amazing song anne 🥰🥰,positive
188,"RT @girlsinrap: Most Viewed Female Rappers On YouTube: (Last 90 Days) 

@NICKIMINAJ — 946M
@DojaCat — 776M 
@theestallion — 435M 
@iamcardi…",positive
189,"@DojaCat mentioning pirates AGAIN.
Idk about you guys but I’m almost sure we’re getting a pirate themed mv👀 https://t.co/yPlyHwqArr",positive
190,"RT @CapitalXTRA: @YinkaBokinni @DojaCat @ShaynaTMarie Who else is looking for that @DojaCat, @MsBanks &amp; @breerunway collab? 🤞🏾

@YinkaBokin…",neutral
191,@girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion Cardboard,neutral
192,@girlsinrap @NICKIMINAJ @DojaCat @theestallion @iamcardib cardi tanked omg,neutral
193,@bardiibardii @girlsinrap @NICKIMINAJ @DojaCat @theestallion @iamcardib on r&amp;b/hip hop bubbling under,neutral
194,@nickigoatasf @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion Barbz stop this🤦🏽,neutral
195,@kiwuandakidd I am so sorry @ThegirlJT @YungMiami305 @DojaCat,negative
196,@girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion @Saweetie @IGGYAZALEA @MissyElliott @stefflondon @citygirls @TierraWhack Quick reminder. No song in a year and still in the top three.,positive
197,@IbabaBenjamin @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion @Saweetie @IGGYAZALEA @MissyElliott @stefflondon @citygirls @TierraWhack Whoever the rat is.. Maybe its because you pretend to hate her but secretly play all her songs 😬,negative
198,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
199,RT @DojaCat: what time is it?,neutral
200,@draketapes1 @girlsinrap @NICKIMINAJ @DojaCat @theestallion @iamcardib just spilling per usual 🤍,negative
201,"RT @DojaCat: New Flo Milli shit got my body completely still while my left asscheek making dents in the ceiling. Go watch ""Like That Bitch""…",positive
202,@art_donuts @BlackwellDesean @_StanDojaCat @DojaCat Bat as u using so many slurs white supremacist 🥰,positive
203,@softniggavibes @art_donuts @spotify_data @selenagomez @DojaCat @Camila_Cabello @AvaMax @Sia @shakira @karolg @LanaDelRey @tonesandimusic @theestallion She just reached 2 billion streams I- 💀,neutral
204,RT @DojaCat: what time is it?,neutral
205,"Top 3 most monthly listeners for female rappers on Spotify:

@NICKIMINAJ — 46.6M 
@DojaCat — 33.4M
@iamcardib — 26.4M
---------------------------------------------------------------
Updated to July 24.",positive
206,RT @DojaCat: Vote for me for PUSH Best New Artist 🗳! You can vote at https://t.co/Oc5UzMiFnj #VMAs https://t.co/rkWAmGqv2p,positive
207,@badlikeabarbiee @nickigoatasf @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion Yall so spiteful and for what,neutral
208,@badlikeabarbiee @Jokesroom1 @nickigoatasf @girlsinrap @NICKIMINAJ @DojaCat @iamcardib @theestallion La bebe doesn’t count it’s a remix and isn’t even her song its just a feature,neutral
209,"RT @OFFI_SwaggLove: Good Morning!!
Help us reach our 1st 1k Followers!!
@DojaCat
@OFFI_SwaggLove
Share Promo code: 5OFFSWAGG at https://t.c…",positive
210,RT @DojaCat: what time is it?,neutral
